S No,Vehicle Category,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
1,FOUR WHEELER (INVALID CARRIAGE),186,226,254,197,215,232,217,240,227,254,301,258,2807
2,HEAVY GOODS VEHICLE,20716,20329,25182,27218,21815,19847,18176,19138,21097,22634,24717,21209,262078
3,HEAVY MOTOR VEHICLE,503,438,523,497,467,469,457,386,436,514,500,551,5741
4,HEAVY PASSENGER VEHICLE,956,1071,883,1039,865,905,1212,1320,1281,1206,1460,1222,13420
5,LIGHT GOODS VEHICLE,48261,44959,55008,49816,44383,46913,48198,46940,50028,51770,58122,48792,593190
6,LIGHT MOTOR VEHICLE,338571,311505,358333,329349,338732,338855,332590,344935,323048,402484,368510,346873,4133785
7,LIGHT PASSENGER VEHICLE,9396,8391,11658,11717,13126,14398,15625,16922,16987,15789,15874,14992,164875
8,MEDIUM GOODS VEHICLE,3876,3477,3760,4020,3032,2879,2694,2801,3050,3043,3238,2582,38452
9,MEDIUM MOTOR VEHICLE,1155,1146,1623,1161,1160,1148,1026,929,1281,1366,1471,1268,14734
10,MEDIUM PASSENGER VEHICLE,535,585,703,1007,1185,2184,2197,1986,1731,1350,1335,1298,16096
11,OTHER THAN MENTIONED ABOVE,3477,4179,5391,4207,3831,3826,3245,3103,4184,4154,4988,5895,50480
12,THREE WHEELER (INVALID CARRIAGE),0,0,1,0,0,0,0,0,0,0,0,0,1
13,THREE WHEELER(NT),475,541,634,625,648,707,861,1220,1773,2381,2002,1949,13816
14,THREE WHEELER(T),43174,41566,51167,44921,44039,48831,53330,59399,67224,69926,78969,67627,670173
15,TWO WHEELER (INVALID CARRIAGE),673,1166,2049,2269,1503,1072,1378,1017,669,504,581,839,13720
16,TWO WHEELER(NT),1153097,1106240,1286214,1327305,1365401,1226220,1134506,1178777,1076985,1722872,1853812,1134370,15565799
17,TWO WHEELER(T),1071,1089,882,1628,1695,1753,1258,1671,1346,2152,2330,2116,18991
