S No,Vehicle Category,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
1,FOUR WHEELER (INVALID CARRIAGE),248,260,305,283,307,347,315,291,297,276,331,295,3555
2,HEAVY GOODS VEHICLE,26668,26542,32153,30719,24465,20749,19715,21420,23816,27777,25279,21804,301107
3,HEAVY MOTOR VEHICLE,465,448,578,593,592,542,429,426,457,476,401,374,5781
4,HEAVY PASSENGER VEHICLE,1441,1470,2275,2095,2253,1753,1442,1470,1828,1838,2049,1791,21705
5,LIGHT GOODS VEHICLE,56349,51552,55186,47615,45559,45529,46557,47656,49803,55257,54257,47955,603275
6,LIGHT MOTOR VEHICLE,401707,345525,397162,323421,352572,373486,353902,366852,364314,396543,409042,354304,4438830
7,LIGHT PASSENGER VEHICLE,17878,15088,22640,20611,22770,25379,27443,30577,28060,27734,24515,22229,284924
8,MEDIUM GOODS VEHICLE,3138,3042,3373,3540,3002,2461,2843,3135,3144,3710,3164,2898,37450
9,MEDIUM MOTOR VEHICLE,1136,1040,1118,877,1003,977,775,807,926,981,1023,1039,11702
10,MEDIUM PASSENGER VEHICLE,1314,1457,2335,2614,2675,3533,3268,2562,2143,1922,1726,1590,27139
11,OTHER THAN MENTIONED ABOVE,5225,6127,7138,5459,5509,7684,4255,4596,5466,6277,6330,6212,70278
12,THREE WHEELER(NT),1960,2094,2049,470,73,96,86,103,83,71,93,83,7261
13,THREE WHEELER(T),69509,74894,88489,73180,82167,89830,97862,103855,105880,110379,103849,98294,1098188
14,TWO WHEELER (INVALID CARRIAGE),674,1503,4118,2118,2148,1639,2121,2180,2643,3280,634,1398,24456
15,TWO WHEELER(NT),1267983,1270039,1449543,1232541,1496488,1313498,1230906,1258249,1313885,1513043,2257529,1452715,17056419
16,TWO WHEELER(T),1056,1058,1384,1250,1344,1169,1065,974,2431,1623,1454,1626,16434
