S No,Vehicle Category,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
1,FOUR WHEELER (INVALID CARRIAGE),185,207,226,170,99,197,206,184,205,148,178,170,2175
2,HEAVY GOODS VEHICLE,15157,17261,19911,16557,6499,10002,11682,12839,15185,16416,15474,15979,172962
3,HEAVY MOTOR VEHICLE,368,455,647,384,152,314,343,334,473,399,380,504,4753
4,HEAVY PASSENGER VEHICLE,391,431,585,702,258,484,592,613,587,584,376,1070,6673
5,LIGHT GOODS VEHICLE,46035,46088,51850,35210,11674,29444,44220,43217,43034,41931,44688,45009,482400
6,LIGHT MOTOR VEHICLE,385065,341655,382377,260708,108705,260586,374717,352679,310931,293731,310276,332485,3713915
7,LIGHT PASSENGER VEHICLE,6936,7425,8823,6324,3018,5908,8497,7287,7434,7374,7698,8200,84924
8,MEDIUM GOODS VEHICLE,3626,3895,4882,3613,829,2001,2749,2876,3656,3541,3485,3526,38679
9,MEDIUM MOTOR VEHICLE,1939,1813,2233,1124,449,1122,1480,1347,1721,1368,1297,1266,17159
10,MEDIUM PASSENGER VEHICLE,421,481,607,348,216,437,476,336,384,400,389,527,5022
11,OTHER THAN MENTIONED ABOVE,4895,5605,7724,3779,1168,2946,3840,3643,5046,3974,3494,3701,49815
12,THREE WHEELER(NT),823,880,824,482,94,162,281,373,397,722,479,448,5965
13,THREE WHEELER(T),34163,35937,41306,23459,5729,16283,30096,32744,39347,42360,43358,47171,391953
14,TWO WHEELER (INVALID CARRIAGE),830,756,923,558,61,297,1754,866,979,1325,923,677,9949
15,TWO WHEELER(NT),1362867,1241279,1351960,959307,459191,1075984,1291529,1103663,1032164,1136852,1599841,1301786,13916423
16,TWO WHEELER(T),902,800,1199,519,22,122,295,357,690,950,810,1731,8397
